# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
2.40000e-01 1.52000e+01 3.30004e+01
2.40000e-01 1.54000e+01 3.24540e+01
2.40000e-01 1.56000e+01 3.16725e+01
2.40000e-01 1.58000e+01 3.06367e+01
2.40000e-01 1.60000e+01 2.95356e+01
2.40000e-01 1.62000e+01 2.85760e+01
2.40000e-01 1.64000e+01 2.75994e+01
2.40000e-01 1.66000e+01 2.64521e+01
2.40000e-01 1.68000e+01 2.50197e+01
2.40000e-01 1.70000e+01 2.31918e+01
2.40000e-01 1.72000e+01 2.07931e+01
2.40000e-01 1.74000e+01 1.74740e+01
2.40000e-01 1.76000e+01 1.26021e+01
2.40000e-01 1.78000e+01 5.16648e+00
2.40000e-01 1.80000e+01 -6.39794e+00
2.40000e-01 1.82000e+01 -2.45026e+01
2.40000e-01 1.84000e+01 -5.30870e+01
2.40000e-01 1.86000e+01 -9.82402e+01
2.40000e-01 1.88000e+01 -3.00000e+02
2.40000e-01 1.90000e+01 -3.00000e+02
2.40000e-01 1.92000e+01 -3.00000e+02
2.40000e-01 1.94000e+01 -3.00000e+02
2.40000e-01 1.96000e+01 -3.00000e+02
2.40000e-01 1.98000e+01 -3.00000e+02
2.40000e-01 2.00000e+01 -3.00000e+02
2.70003e-01 1.20000e+01 3.43530e+01
2.70003e-01 1.22000e+01 3.43516e+01
2.70003e-01 1.24000e+01 3.43498e+01
2.70003e-01 1.26000e+01 3.43471e+01
2.70003e-01 1.28000e+01 3.43430e+01
2.70003e-01 1.30000e+01 3.43364e+01
2.70003e-01 1.32000e+01 3.43266e+01
2.70003e-01 1.34000e+01 3.43118e+01
2.70003e-01 1.36000e+01 3.42899e+01
2.70003e-01 1.38000e+01 3.42573e+01
2.70003e-01 1.40000e+01 3.42078e+01
2.70003e-01 1.42000e+01 3.41396e+01
2.70003e-01 1.44000e+01 3.40408e+01
2.70003e-01 1.46000e+01 3.38987e+01
2.70003e-01 1.48000e+01 3.36943e+01
2.70003e-01 1.50000e+01 3.33979e+01
2.70003e-01 1.52000e+01 3.29684e+01
2.70003e-01 1.54000e+01 3.23519e+01
2.70003e-01 1.56000e+01 3.14993e+01
2.70003e-01 1.58000e+01 3.04544e+01
2.70003e-01 1.60000e+01 2.94286e+01
2.70003e-01 1.62000e+01 2.84661e+01
2.70003e-01 1.64000e+01 2.74369e+01
2.70003e-01 1.66000e+01 2.62051e+01
2.70003e-01 1.68000e+01 2.46560e+01
2.70003e-01 1.70000e+01 2.26654e+01
2.70003e-01 1.72000e+01 2.00138e+01
2.70003e-01 1.74000e+01 1.62686e+01
2.70003e-01 1.76000e+01 1.06847e+01
2.70003e-01 1.78000e+01 2.09444e+00
2.70003e-01 1.80000e+01 -1.12753e+01
2.70003e-01 1.82000e+01 -3.23474e+01
2.70003e-01 1.84000e+01 -6.55781e+01
2.70003e-01 1.86000e+01 -3.00000e+02
2.70003e-01 1.88000e+01 -3.00000e+02
2.70003e-01 1.90000e+01 -3.00000e+02
2.70003e-01 1.92000e+01 -3.00000e+02
2.70003e-01 1.94000e+01 -3.00000e+02
2.70003e-01 1.96000e+01 -3.00000e+02
2.70003e-01 1.98000e+01 -3.00000e+02
2.70003e-01 2.00000e+01 -3.00000e+02
3.00008e-01 1.20000e+01 3.44765e+01
3.00008e-01 1.22000e+01 3.44753e+01
3.00008e-01 1.24000e+01 3.44729e+01
3.00008e-01 1.26000e+01 3.44699e+01
3.00008e-01 1.28000e+01 3.44651e+01
3.00008e-01 1.30000e+01 3.44577e+01
3.00008e-01 1.32000e+01 3.44465e+01
3.00008e-01 1.34000e+01 3.44288e+01
3.00008e-01 1.36000e+01 3.44029e+01
3.00008e-01 1.38000e+01 3.43659e+01
3.00008e-01 1.40000e+01 3.43124e+01
3.00008e-01 1.42000e+01 3.42360e+01
3.00008e-01 1.44000e+01 3.41249e+01
3.00008e-01 1.46000e+01 3.39642e+01
3.00008e-01 1.48000e+01 3.37309e+01
3.00008e-01 1.50000e+01 3.33941e+01
3.00008e-01 1.52000e+01 3.29098e+01
3.00008e-01 1.54000e+01 3.22259e+01
3.00008e-01 1.56000e+01 3.13225e+01
3.00008e-01 1.58000e+01 3.03125e+01
3.00008e-01 1.60000e+01 2.93337e+01
3.00008e-01 1.62000e+01 2.83478e+01
3.00008e-01 1.64000e+01 2.72586e+01
3.00008e-01 1.66000e+01 2.59349e+01
3.00008e-01 1.68000e+01 2.42599e+01
3.00008e-01 1.70000e+01 2.20884e+01
3.00008e-01 1.72000e+01 1.91455e+01
3.00008e-01 1.74000e+01 1.49073e+01
3.00008e-01 1.76000e+01 8.50847e+00
3.00008e-01 1.78000e+01 -1.39503e+00
3.00008e-01 1.80000e+01 -1.68565e+01
3.00008e-01 1.82000e+01 -4.12484e+01
3.00008e-01 1.84000e+01 -7.97467e+01
3.00008e-01 1.86000e+01 -3.00000e+02
3.00008e-01 1.88000e+01 -3.00000e+02
3.00008e-01 1.90000e+01 -3.00000e+02
3.00008e-01 1.92000e+01 -3.00000e+02
3.00008e-01 1.94000e+01 -3.00000e+02
3.00008e-01 1.96000e+01 -3.00000e+02
3.00008e-01 1.98000e+01 -3.00000e+02
3.00008e-01 2.00000e+01 -3.00000e+02
3.30008e-01 1.20000e+01 3.45959e+01
3.30008e-01 1.22000e+01 3.45941e+01
3.30008e-01 1.24000e+01 3.45922e+01
3.30008e-01 1.26000e+01 3.45887e+01
3.30008e-01 1.28000e+01 3.45830e+01
3.30008e-01 1.30000e+01 3.45749e+01
3.30008e-01 1.32000e+01 3.45630e+01
3.30008e-01 1.34000e+01 3.45435e+01
3.30008e-01 1.36000e+01 3.45158e+01
3.30008e-01 1.38000e+01 3.44751e+01
3.30008e-01 1.40000e+01 3.44141e+01
3.30008e-01 1.42000e+01 3.43283e+01
3.30008e-01 1.44000e+01 3.42003e+01
3.30008e-01 1.46000e+01 3.40191e+01
3.30008e-01 1.48000e+01 3.37546e+01
3.30008e-01 1.50000e+01 3.33776e+01
3.30008e-01 1.52000e+01 3.28366e+01
3.30008e-01 1.54000e+01 3.20938e+01
3.30008e-01 1.56000e+01 3.11785e+01
3.30008e-01 1.58000e+01 3.02161e+01
3.30008e-01 1.60000e+01 2.92416e+01
3.30008e-01 1.62000e+01 2.82189e+01
3.30008e-01 1.64000e+01 2.70614e+01
3.30008e-01 1.66000e+01 2.56378e+01
3.30008e-01 1.68000e+01 2.38253e+01
3.30008e-01 1.70000e+01 2.14494e+01
3.30008e-01 1.72000e+01 1.81683e+01
3.30008e-01 1.74000e+01 1.33599e+01
3.30008e-01 1.76000e+01 6.02760e+00
3.30008e-01 1.78000e+01 -5.37253e+00
3.30008e-01 1.80000e+01 -2.32141e+01
3.30008e-01 1.82000e+01 -5.13818e+01
3.30008e-01 1.84000e+01 -9.58735e+01
3.30008e-01 1.86000e+01 -3.00000e+02
3.30008e-01 1.88000e+01 -3.00000e+02
3.30008e-01 1.90000e+01 -3.00000e+02
3.30008e-01 1.92000e+01 -3.00000e+02
3.30008e-01 1.94000e+01 -3.00000e+02
3.30008e-01 1.96000e+01 -3.00000e+02
3.30008e-01 1.98000e+01 -3.00000e+02
3.30008e-01 2.00000e+01 -3.00000e+02
3.60006e-01 1.20000e+01 3.47171e+01
3.60006e-01 1.22000e+01 3.47161e+01
3.60006e-01 1.24000e+01 3.47135e+01
3.60006e-01 1.26000e+01 3.47093e+01
3.60006e-01 1.28000e+01 3.47035e+01
3.60006e-01 1.30000e+01 3.46942e+01
3.60006e-01 1.32000e+01 3.46799e+01
3.60006e-01 1.34000e+01 3.46589e+01
3.60006e-01 1.36000e+01 3.46246e+01
3.60006e-01 1.38000e+01 3.45787e+01
3.60006e-01 1.40000e+01 3.45148e+01
