# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
2.40000e-01 1.62000e+01 2.59853e+01
2.40000e-01 1.64000e+01 2.59837e+01
2.40000e-01 1.66000e+01 2.59811e+01
2.40000e-01 1.68000e+01 2.59769e+01
2.40000e-01 1.70000e+01 2.59700e+01
2.40000e-01 1.72000e+01 2.59606e+01
2.40000e-01 1.74000e+01 2.59472e+01
2.40000e-01 1.76000e+01 2.59246e+01
2.40000e-01 1.78000e+01 2.58944e+01
2.40000e-01 1.80000e+01 2.58506e+01
2.40000e-01 1.82000e+01 2.57862e+01
2.40000e-01 1.84000e+01 2.56961e+01
2.40000e-01 1.86000e+01 2.55702e+01
2.40000e-01 1.88000e+01 2.53933e+01
2.40000e-01 1.90000e+01 2.51413e+01
2.40000e-01 1.92000e+01 2.47762e+01
2.40000e-01 1.94000e+01 2.42481e+01
2.40000e-01 1.96000e+01 2.35044e+01
2.40000e-01 1.98000e+01 2.25178e+01
2.40000e-01 2.00000e+01 2.15212e+01
2.70003e-01 1.20000e+01 2.61211e+01
2.70003e-01 1.22000e+01 2.61211e+01
2.70003e-01 1.24000e+01 2.61211e+01
2.70003e-01 1.26000e+01 2.61211e+01
2.70003e-01 1.28000e+01 2.61211e+01
2.70003e-01 1.30000e+01 2.61211e+01
2.70003e-01 1.32000e+01 2.61211e+01
2.70003e-01 1.34000e+01 2.61211e+01
2.70003e-01 1.36000e+01 2.61211e+01
2.70003e-01 1.38000e+01 2.61211e+01
2.70003e-01 1.40000e+01 2.61211e+01
2.70003e-01 1.42000e+01 2.61211e+01
2.70003e-01 1.44000e+01 2.61210e+01
2.70003e-01 1.46000e+01 2.61210e+01
2.70003e-01 1.48000e+01 2.61210e+01
2.70003e-01 1.50000e+01 2.61209e+01
2.70003e-01 1.52000e+01 2.61207e+01
2.70003e-01 1.54000e+01 2.61205e+01
2.70003e-01 1.56000e+01 2.61202e+01
2.70003e-01 1.58000e+01 2.61197e+01
2.70003e-01 1.60000e+01 2.61188e+01
2.70003e-01 1.62000e+01 2.61177e+01
2.70003e-01 1.64000e+01 2.61154e+01
2.70003e-01 1.66000e+01 2.61124e+01
2.70003e-01 1.68000e+01 2.61076e+01
2.70003e-01 1.70000e+01 2.61003e+01
2.70003e-01 1.72000e+01 2.60880e+01
2.70003e-01 1.74000e+01 2.60712e+01
2.70003e-01 1.76000e+01 2.60433e+01
2.70003e-01 1.78000e+01 2.60086e+01
2.70003e-01 1.80000e+01 2.59611e+01
2.70003e-01 1.82000e+01 2.58892e+01
2.70003e-01 1.84000e+01 2.57879e+01
2.70003e-01 1.86000e+01 2.56473e+01
2.70003e-01 1.88000e+01 2.54449e+01
2.70003e-01 1.90000e+01 2.51559e+01
2.70003e-01 1.92000e+01 2.47384e+01
2.70003e-01 1.94000e+01 2.41414e+01
2.70003e-01 1.96000e+01 2.33141e+01
2.70003e-01 1.98000e+01 2.23200e+01
2.70003e-01 2.00000e+01 2.14153e+01
3.00008e-01 1.20000e+01 2.62517e+01
3.00008e-01 1.22000e+01 2.62517e+01
3.00008e-01 1.24000e+01 2.62517e+01
3.00008e-01 1.26000e+01 2.62517e+01
3.00008e-01 1.28000e+01 2.62517e+01
3.00008e-01 1.30000e+01 2.62517e+01
3.00008e-01 1.32000e+01 2.62517e+01
3.00008e-01 1.34000e+01 2.62517e+01
3.00008e-01 1.36000e+01 2.62516e+01
3.00008e-01 1.38000e+01 2.62516e+01
3.00008e-01 1.40000e+01 2.62516e+01
3.00008e-01 1.42000e+01 2.62516e+01
3.00008e-01 1.44000e+01 2.62516e+01
3.00008e-01 1.46000e+01 2.62516e+01
3.00008e-01 1.48000e+01 2.62515e+01
3.00008e-01 1.50000e+01 2.62514e+01
3.00008e-01 1.52000e+01 2.62512e+01
3.00008e-01 1.54000e+01 2.62510e+01
3.00008e-01 1.56000e+01 2.62506e+01
3.00008e-01 1.58000e+01 2.62500e+01
3.00008e-01 1.60000e+01 2.62491e+01
3.00008e-01 1.62000e+01 2.62476e+01
3.00008e-01 1.64000e+01 2.62453e+01
3.00008e-01 1.66000e+01 2.62416e+01
3.00008e-01 1.68000e+01 2.62363e+01
3.00008e-01 1.70000e+01 2.62281e+01
3.00008e-01 1.72000e+01 2.62156e+01
3.00008e-01 1.74000e+01 2.61960e+01
3.00008e-01 1.76000e+01 2.61687e+01
3.00008e-01 1.78000e+01 2.61303e+01
3.00008e-01 1.80000e+01 2.60741e+01
3.00008e-01 1.82000e+01 2.59897e+01
3.00008e-01 1.84000e+01 2.58757e+01
3.00008e-01 1.86000e+01 2.57134e+01
3.00008e-01 1.88000e+01 2.54828e+01
3.00008e-01 1.90000e+01 2.51549e+01
3.00008e-01 1.92000e+01 2.46841e+01
3.00008e-01 1.94000e+01 2.40169e+01
3.00008e-01 1.96000e+01 2.31345e+01
3.00008e-01 1.98000e+01 2.21794e+01
3.00008e-01 2.00000e+01 2.13387e+01
3.30008e-01 1.20000e+01 2.63723e+01
3.30008e-01 1.22000e+01 2.63723e+01
3.30008e-01 1.24000e+01 2.63723e+01
3.30008e-01 1.26000e+01 2.63723e+01
3.30008e-01 1.28000e+01 2.63723e+01
3.30008e-01 1.30000e+01 2.63723e+01
3.30008e-01 1.32000e+01 2.63723e+01
3.30008e-01 1.34000e+01 2.63723e+01
3.30008e-01 1.36000e+01 2.63723e+01
3.30008e-01 1.38000e+01 2.63723e+01
3.30008e-01 1.40000e+01 2.63723e+01
3.30008e-01 1.42000e+01 2.63723e+01
3.30008e-01 1.44000e+01 2.63722e+01
3.30008e-01 1.46000e+01 2.63722e+01
3.30008e-01 1.48000e+01 2.63721e+01
3.30008e-01 1.50000e+01 2.63720e+01
3.30008e-01 1.52000e+01 2.63718e+01
3.30008e-01 1.54000e+01 2.63716e+01
3.30008e-01 1.56000e+01 2.63712e+01
3.30008e-01 1.58000e+01 2.63705e+01
3.30008e-01 1.60000e+01 2.63695e+01
3.30008e-01 1.62000e+01 2.63678e+01
3.30008e-01 1.64000e+01 2.63653e+01
3.30008e-01 1.66000e+01 2.63614e+01
3.30008e-01 1.68000e+01 2.63546e+01
3.30008e-01 1.70000e+01 2.63457e+01
3.30008e-01 1.72000e+01 2.63320e+01
3.30008e-01 1.74000e+01 2.63113e+01
3.30008e-01 1.76000e+01 2.62810e+01
3.30008e-01 1.78000e+01 2.62312e+01
3.30008e-01 1.80000e+01 2.61680e+01
3.30008e-01 1.82000e+01 2.60832e+01
3.30008e-01 1.84000e+01 2.59535e+01
3.30008e-01 1.86000e+01 2.57736e+01
3.30008e-01 1.88000e+01 2.55163e+01
3.30008e-01 1.90000e+01 2.51443e+01
3.30008e-01 1.92000e+01 2.46182e+01
3.30008e-01 1.94000e+01 2.38837e+01
3.30008e-01 1.96000e+01 2.29793e+01
3.30008e-01 1.98000e+01 2.20886e+01
3.30008e-01 2.00000e+01 2.12660e+01
3.60006e-01 1.20000e+01 2.64961e+01
3.60006e-01 1.22000e+01 2.64961e+01
3.60006e-01 1.24000e+01 2.64961e+01
3.60006e-01 1.26000e+01 2.64961e+01
3.60006e-01 1.28000e+01 2.64961e+01
3.60006e-01 1.30000e+01 2.64961e+01
3.60006e-01 1.32000e+01 2.64961e+01
3.60006e-01 1.34000e+01 2.64961e+01
3.60006e-01 1.36000e+01 2.64961e+01
3.60006e-01 1.38000e+01 2.64961e+01
3.60006e-01 1.40000e+01 2.64961e+01
3.60006e-01 1.42000e+01 2.64961e+01
3.60006e-01 1.44000e+01 2.64960e+01
3.60006e-01 1.46000e+01 2.64960e+01
3.60006e-01 1.48000e+01 2.64959e+01
3.60006e-01 1.50000e+01 2.64958e+01
3.60006e-01 1.52000e+01 2.64956e+01
3.60006e-01 1.54000e+01 2.64953e+01
3.60006e-01 1.56000e+01 2.64948e+01
3.60006e-01 1.58000e+01 2.64940e+01
3.60006e-01 1.60000e+01 2.64929e+01
3.60006e-01 1.62000e+01 2.64909e+01
3.60006e-01 1.64000e+01 2.64882e+01
3.60006e-01 1.66000e+01 2.64837e+01
3.60006e-01 1.68000e+01 2.64769e+01
3.60006e-01 1.70000e+01 2.64665e+01
3.60006e-01 1.72000e+01 2.64508e+01
3.60006e-01 1.74000e+01 2.64271e+01
3.60006e-01 1.76000e+01 2.63952e+01
3.60006e-01 1.78000e+01 2.63431e+01
3.60006e-01 1.80000e+01 2.62727e+01
3.60006e-01 1.82000e+01 2.61707e+01
3.60006e-01 1.84000e+01 2.60312e+01
3.60006e-01 1.86000e+01 2.58227e+01
3.60006e-01 1.88000e+01 2.55331e+01
3.60006e-01 1.90000e+01 2.51169e+01
3.60006e-01 1.92000e+01 2.45307e+01
3.60006e-01 1.94000e+01 2.37486e+01
3.60006e-01 1.96000e+01 2.28618e+01
3.60006e-01 1.98000e+01 2.20235e+01
3.60006e-01 2.00000e+01 2.11886e+01
3.89998e-01 1.20000e+01 2.66217e+01
3.89998e-01 1.22000e+01 2.66217e+01
3.89998e-01 1.24000e+01 2.66217e+01
3.89998e-01 1.26000e+01 2.66217e+01
3.89998e-01 1.28000e+01 2.66217e+01
3.89998e-01 1.30000e+01 2.66217e+01
3.89998e-01 1.32000e+01 2.66217e+01
3.89998e-01 1.34000e+01 2.66217e+01
3.89998e-01 1.36000e+01 2.66217e+01
3.89998e-01 1.38000e+01 2.66217e+01
3.89998e-01 1.40000e+01 2.66217e+01
3.89998e-01 1.42000e+01 2.66217e+01
3.89998e-01 1.44000e+01 2.66217e+01
3.89998e-01 1.46000e+01 2.66216e+01
3.89998e-01 1.48000e+01 2.66215e+01
3.89998e-01 1.50000e+01 2.66214e+01
3.89998e-01 1.52000e+01 2.66213e+01
3.89998e-01 1.54000e+01 2.66209e+01
3.89998e-01 1.56000e+01 2.66204e+01
3.89998e-01 1.58000e+01 2.66193e+01
3.89998e-01 1.60000e+01 2.66180e+01
3.89998e-01 1.62000e+01 2.66161e+01
3.89998e-01 1.64000e+01 2.66127e+01
3.89998e-01 1.66000e+01 2.66078e+01
3.89998e-01 1.68000e+01 2.65999e+01
3.89998e-01 1.70000e+01 2.65902e+01
3.89998e-01 1.72000e+01 2.65706e+01
3.89998e-01 1.74000e+01 2.65419e+01
3.89998e-01 1.76000e+01 2.65030e+01
3.89998e-01 1.78000e+01 2.64478e+01
3.89998e-01 1.80000e+01 2.63667e+01
3.89998e-01 1.82000e+01 2.62586e+01
3.89998e-01 1.84000e+01 2.60964e+01
3.89998e-01 1.86000e+01 2.58656e+01
3.89998e-01 1.88000e+01 2.55430e+01
3.89998e-01 1.90000e+01 2.50818e+01
3.89998e-01 1.92000e+01 2.44440e+01
3.89998e-01 1.94000e+01 2.36406e+01
3.89998e-01 1.96000e+01 2.27895e+01
3.89998e-01 1.98000e+01 2.19691e+01
3.89998e-01 2.00000e+01 2.11020e+01
