# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
2.70003e-01 1.68000e+01 2.63265e+01
2.70003e-01 1.70000e+01 2.63202e+01
2.70003e-01 1.72000e+01 2.63102e+01
2.70003e-01 1.74000e+01 2.62970e+01
2.70003e-01 1.76000e+01 2.62758e+01
2.70003e-01 1.78000e+01 2.62433e+01
2.70003e-01 1.80000e+01 2.61986e+01
2.70003e-01 1.82000e+01 2.61342e+01
2.70003e-01 1.84000e+01 2.60423e+01
2.70003e-01 1.86000e+01 2.59124e+01
2.70003e-01 1.88000e+01 2.57288e+01
2.70003e-01 1.90000e+01 2.54722e+01
2.70003e-01 1.92000e+01 2.50956e+01
2.70003e-01 1.94000e+01 2.45672e+01
2.70003e-01 1.96000e+01 2.38248e+01
2.70003e-01 1.98000e+01 2.28809e+01
2.70003e-01 2.00000e+01 2.19708e+01
3.00008e-01 1.20000e+01 2.64691e+01
3.00008e-01 1.22000e+01 2.64691e+01
3.00008e-01 1.24000e+01 2.64691e+01
3.00008e-01 1.26000e+01 2.64691e+01
3.00008e-01 1.28000e+01 2.64691e+01
3.00008e-01 1.30000e+01 2.64691e+01
3.00008e-01 1.32000e+01 2.64691e+01
3.00008e-01 1.34000e+01 2.64691e+01
3.00008e-01 1.36000e+01 2.64691e+01
3.00008e-01 1.38000e+01 2.64691e+01
3.00008e-01 1.40000e+01 2.64691e+01
3.00008e-01 1.42000e+01 2.64691e+01
3.00008e-01 1.44000e+01 2.64690e+01
3.00008e-01 1.46000e+01 2.64690e+01
3.00008e-01 1.48000e+01 2.64690e+01
3.00008e-01 1.50000e+01 2.64689e+01
3.00008e-01 1.52000e+01 2.64687e+01
3.00008e-01 1.54000e+01 2.64685e+01
3.00008e-01 1.56000e+01 2.64682e+01
3.00008e-01 1.58000e+01 2.64664e+01
3.00008e-01 1.60000e+01 2.64656e+01
3.00008e-01 1.62000e+01 2.64643e+01
3.00008e-01 1.64000e+01 2.64637e+01
3.00008e-01 1.66000e+01 2.64606e+01
3.00008e-01 1.68000e+01 2.64559e+01
3.00008e-01 1.70000e+01 2.64485e+01
3.00008e-01 1.72000e+01 2.64383e+01
3.00008e-01 1.74000e+01 2.64224e+01
3.00008e-01 1.76000e+01 2.64009e+01
3.00008e-01 1.78000e+01 2.63641e+01
3.00008e-01 1.80000e+01 2.63156e+01
3.00008e-01 1.82000e+01 2.62373e+01
3.00008e-01 1.84000e+01 2.61313e+01
3.00008e-01 1.86000e+01 2.59856e+01
3.00008e-01 1.88000e+01 2.57807e+01
3.00008e-01 1.90000e+01 2.54863e+01
3.00008e-01 1.92000e+01 2.50661e+01
3.00008e-01 1.94000e+01 2.44719e+01
3.00008e-01 1.96000e+01 2.36707e+01
3.00008e-01 1.98000e+01 2.27285e+01
3.00008e-01 2.00000e+01 2.19106e+01
3.30008e-01 1.20000e+01 2.65881e+01
3.30008e-01 1.22000e+01 2.65881e+01
3.30008e-01 1.24000e+01 2.65880e+01
3.30008e-01 1.26000e+01 2.65880e+01
3.30008e-01 1.28000e+01 2.65880e+01
3.30008e-01 1.30000e+01 2.65880e+01
3.30008e-01 1.32000e+01 2.65880e+01
3.30008e-01 1.34000e+01 2.65880e+01
3.30008e-01 1.36000e+01 2.65880e+01
3.30008e-01 1.38000e+01 2.65880e+01
3.30008e-01 1.40000e+01 2.65880e+01
3.30008e-01 1.42000e+01 2.65880e+01
3.30008e-01 1.44000e+01 2.65880e+01
3.30008e-01 1.46000e+01 2.65877e+01
3.30008e-01 1.48000e+01 2.65877e+01
3.30008e-01 1.50000e+01 2.65876e+01
3.30008e-01 1.52000e+01 2.65874e+01
3.30008e-01 1.54000e+01 2.65872e+01
3.30008e-01 1.56000e+01 2.65868e+01
3.30008e-01 1.58000e+01 2.65864e+01
3.30008e-01 1.60000e+01 2.65855e+01
3.30008e-01 1.62000e+01 2.65841e+01
3.30008e-01 1.64000e+01 2.65819e+01
3.30008e-01 1.66000e+01 2.65785e+01
3.30008e-01 1.68000e+01 2.65720e+01
3.30008e-01 1.70000e+01 2.65639e+01
3.30008e-01 1.72000e+01 2.65522e+01
3.30008e-01 1.74000e+01 2.65327e+01
3.30008e-01 1.76000e+01 2.65084e+01
3.30008e-01 1.78000e+01 2.64702e+01
3.30008e-01 1.80000e+01 2.64138e+01
3.30008e-01 1.82000e+01 2.63325e+01
3.30008e-01 1.84000e+01 2.62160e+01
3.30008e-01 1.86000e+01 2.60540e+01
3.30008e-01 1.88000e+01 2.58207e+01
3.30008e-01 1.90000e+01 2.54871e+01
3.30008e-01 1.92000e+01 2.50178e+01
3.30008e-01 1.94000e+01 2.43603e+01
3.30008e-01 1.96000e+01 2.35190e+01
3.30008e-01 1.98000e+01 2.26278e+01
3.30008e-01 2.00000e+01 2.18666e+01
3.60006e-01 1.20000e+01 2.67130e+01
3.60006e-01 1.22000e+01 2.67130e+01
3.60006e-01 1.24000e+01 2.67130e+01
3.60006e-01 1.26000e+01 2.67130e+01
3.60006e-01 1.28000e+01 2.67130e+01
3.60006e-01 1.30000e+01 2.67130e+01
3.60006e-01 1.32000e+01 2.67130e+01
3.60006e-01 1.34000e+01 2.67130e+01
3.60006e-01 1.36000e+01 2.67130e+01
3.60006e-01 1.38000e+01 2.67130e+01
3.60006e-01 1.40000e+01 2.67130e+01
3.60006e-01 1.42000e+01 2.67130e+01
3.60006e-01 1.44000e+01 2.67130e+01
3.60006e-01 1.46000e+01 2.67129e+01
3.60006e-01 1.48000e+01 2.67128e+01
3.60006e-01 1.50000e+01 2.67127e+01
3.60006e-01 1.52000e+01 2.67125e+01
3.60006e-01 1.54000e+01 2.67122e+01
3.60006e-01 1.56000e+01 2.67118e+01
3.60006e-01 1.58000e+01 2.67112e+01
3.60006e-01 1.60000e+01 2.67102e+01
3.60006e-01 1.62000e+01 2.67083e+01
3.60006e-01 1.64000e+01 2.67073e+01
3.60006e-01 1.66000e+01 2.67036e+01
3.60006e-01 1.68000e+01 2.66959e+01
3.60006e-01 1.70000e+01 2.66864e+01
3.60006e-01 1.72000e+01 2.66745e+01
3.60006e-01 1.74000e+01 2.66560e+01
3.60006e-01 1.76000e+01 2.66263e+01
3.60006e-01 1.78000e+01 2.65801e+01
3.60006e-01 1.80000e+01 2.65151e+01
3.60006e-01 1.82000e+01 2.64252e+01
3.60006e-01 1.84000e+01 2.62956e+01
3.60006e-01 1.86000e+01 2.61068e+01
3.60006e-01 1.88000e+01 2.58481e+01
3.60006e-01 1.90000e+01 2.54747e+01
3.60006e-01 1.92000e+01 2.49550e+01
3.60006e-01 1.94000e+01 2.42409e+01
3.60006e-01 1.96000e+01 2.33867e+01
3.60006e-01 1.98000e+01 2.25667e+01
3.60006e-01 2.00000e+01 2.18255e+01
3.89998e-01 1.20000e+01 2.68379e+01
3.89998e-01 1.22000e+01 2.68379e+01
3.89998e-01 1.24000e+01 2.68379e+01
3.89998e-01 1.26000e+01 2.68379e+01
3.89998e-01 1.28000e+01 2.68379e+01
3.89998e-01 1.30000e+01 2.68379e+01
3.89998e-01 1.32000e+01 2.68379e+01
3.89998e-01 1.34000e+01 2.68379e+01
3.89998e-01 1.36000e+01 2.68379e+01
3.89998e-01 1.38000e+01 2.68379e+01
3.89998e-01 1.40000e+01 2.68379e+01
3.89998e-01 1.42000e+01 2.68379e+01
3.89998e-01 1.44000e+01 2.68378e+01
3.89998e-01 1.46000e+01 2.68378e+01
3.89998e-01 1.48000e+01 2.68377e+01
3.89998e-01 1.50000e+01 2.68376e+01
3.89998e-01 1.52000e+01 2.68374e+01
3.89998e-01 1.54000e+01 2.68373e+01
3.89998e-01 1.56000e+01 2.68369e+01
3.89998e-01 1.58000e+01 2.68361e+01
3.89998e-01 1.60000e+01 2.68351e+01
3.89998e-01 1.62000e+01 2.68332e+01
3.89998e-01 1.64000e+01 2.68303e+01
3.89998e-01 1.66000e+01 2.68259e+01
3.89998e-01 1.68000e+01 2.68164e+01
3.89998e-01 1.70000e+01 2.68062e+01
3.89998e-01 1.72000e+01 2.67915e+01
3.89998e-01 1.74000e+01 2.67714e+01
3.89998e-01 1.76000e+01 2.67377e+01
3.89998e-01 1.78000e+01 2.66883e+01
3.89998e-01 1.80000e+01 2.66141e+01
3.89998e-01 1.82000e+01 2.65122e+01
3.89998e-01 1.84000e+01 2.63711e+01
3.89998e-01 1.86000e+01 2.61629e+01
3.89998e-01 1.88000e+01 2.58676e+01
3.89998e-01 1.90000e+01 2.54509e+01
3.89998e-01 1.92000e+01 2.48730e+01
3.89998e-01 1.94000e+01 2.41253e+01
3.89998e-01 1.96000e+01 2.32994e+01
3.89998e-01 1.98000e+01 2.25355e+01
3.89998e-01 2.00000e+01 2.17772e+01
